Module,Page,Administration.Administrator,Administration.User,CommunityCommons.Administrator,CommunityCommons.User,EXFN_AuditTrailViewer.User,EXFN_Authentication.Administrator,EXFN_Authentication.User,EXFN_CrossNavigation.User,EXFN_ServiceLayer.Administrator,EXFN_ServiceLayer.User,OpcenterEXFN_DISW_DesignSystem.Administrator,OpcenterEXFN_DISW_DesignSystem.User,OpcenterEXFN_ReferenceData.User,OpcenterEXFN_ReferenceData.Manager,OpcenterEXFN_ReferenceData_Connector.User,System.Administrator,System.User,Viewer3D.Administrator,Viewer3D.User
Administration,Account_Overview,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,Counter_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
OpcenterEXFN_ReferenceData,NumberingPattern_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,StateMachine_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,StatusBehaviorDefinition_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,StatusDefinition_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,StatusTransitionDefinition_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,Status_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,UoMDimension_Master_SingleSelection,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
OpcenterEXFN_ReferenceData,UoM_Master,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
